State,Industry,Series ID,Month,Turnover
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Apr,4.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 May,3.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Jun,3.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Jul,4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Aug,3.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Sep,4.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Oct,4.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Nov,5.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982 Dec,6.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Jan,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Feb,4.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Mar,4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Apr,4.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 May,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Jun,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Jul,4.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Aug,4.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Sep,4.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Oct,5.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Nov,6.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983 Dec,9.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Jan,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Feb,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Mar,4.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Apr,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 May,3.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Jun,4.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Jul,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Aug,4.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Sep,5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Oct,5.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Nov,5.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984 Dec,6.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985 Jan,4.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985 Feb,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985 Mar,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985 Apr,6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985 May,5.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985 Jun,5.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985 Jul,6.4
