unique_id,ds,y,gen_forecast,system_load,week_day
FR,2015-01-01 00:00:00,53.48,76905.0,74812.0,3
FR,2015-01-01 01:00:00,51.93,75492.0,71469.0,3
FR,2015-01-01 02:00:00,48.76,74394.0,69642.0,3
FR,2015-01-01 03:00:00,42.27,72639.0,66704.0,3
FR,2015-01-01 04:00:00,38.41,69347.0,65051.0,3
FR,2015-01-01 05:00:00,35.72,67960.0,62855.0,3
FR,2015-01-01 06:00:00,32.66,67564.0,62470.0,3
FR,2015-01-01 07:00:00,32.83,67277.0,64086.0,3
FR,2015-01-01 08:00:00,30.06,67019.0,64541.0,3
FR,2015-01-01 09:00:00,29.24,67846.0,63585.0,3
FR,2015-01-01 10:00:00,37.54,70274.0,65564.0,3
FR,2015-01-01 11:00:00,41.19,71975.0,66642.0,3
FR,2015-01-01 12:00:00,44.69,74395.0,67618.0,3
FR,2015-01-01 13:00:00,39.77,73458.0,69286.0,3
FR,2015-01-01 14:00:00,33.29,71382.0,64608.0,3
FR,2015-01-01 15:00:00,32.47,68812.0,61660.0,3
FR,2015-01-01 16:00:00,34.73,68954.0,61270.0,3
FR,2015-01-01 17:00:00,40.95,72468.0,64215.0,3
FR,2015-01-01 18:00:00,51.25,76228.0,70227.0,3
FR,2015-01-01 19:00:00,52.55,79480.0,72834.0,3
FR,2015-01-01 20:00:00,49.55,79199.0,73233.0,3
FR,2015-01-01 21:00:00,46.31,77448.0,71265.0,3
FR,2015-01-01 22:00:00,48.75,77909.0,68772.0,3
FR,2015-01-01 23:00:00,47.59,76777.0,73055.0,3
FR,2015-01-02 00:00:00,38.8,73652.0,71247.0,4
FR,2015-01-02 01:00:00,36.73,71874.0,66693.0,4
FR,2015-01-02 02:00:00,33.52,71196.0,66725.0,4
FR,2015-01-02 03:00:00,27.5,68045.0,63084.0,4
FR,2015-01-02 04:00:00,22.84,66880.0,61337.0,4
FR,2015-01-02 05:00:00,26.1,66922.0,60231.0,4
FR,2015-01-02 06:00:00,27.17,68235.0,63232.0,4
FR,2015-01-02 07:00:00,33.33,70871.0,65498.0,4
FR,2015-01-02 08:00:00,42.06,74625.0,68186.0,4
FR,2015-01-02 09:00:00,46.13,77325.0,70152.0,4
FR,2015-01-02 10:00:00,44.05,77816.0,71495.0,4
FR,2015-01-02 11:00:00,45.3,78185.0,71135.0,4
FR,2015-01-02 12:00:00,48.64,79458.0,70865.0,4
FR,2015-01-02 13:00:00,44.87,78259.0,72639.0,4
FR,2015-01-02 14:00:00,41.0,76170.0,68957.0,4
