"unique_id","ds","Takings","Occupancy","CPI"
"Australian Capital Territory",1998-01-01,24.278895,65,67
"Australian Capital Territory",1998-04-01,22.323541,59,67.4
"Australian Capital Territory",1998-07-01,22.52939,58,67.5
"Australian Capital Territory",1998-10-01,24.390964,59,67.8
"Australian Capital Territory",1999-01-01,23.721435,58,67.8
"Australian Capital Territory",1999-04-01,25.382451,61,68.1
"Australian Capital Territory",1999-07-01,28.228668,66,68.7
"Australian Capital Territory",1999-10-01,25.813338,60,69.1
"Australian Capital Territory",2000-01-01,27.304594,60.9,69.7
"Australian Capital Territory",2000-04-01,30.094616,64.7,70.2
"Australian Capital Territory",2000-07-01,29.878233,56.8,72.9
"Australian Capital Territory",2000-10-01,30.115006,59,73.1
"Australian Capital Territory",2001-01-01,30.611408,59.4,73.9
"Australian Capital Territory",2001-04-01,37.061952,68.6,74.5
"Australian Capital Territory",2001-07-01,32.045435,62.4,74.7
"Australian Capital Territory",2001-10-01,29.785406,57.4,75.4
"Australian Capital Territory",2002-01-01,31.99225,62.3,76.1
"Australian Capital Territory",2002-04-01,32.890227,63.2,76.6
"Australian Capital Territory",2002-07-01,31.545823,61.9,77.1
"Australian Capital Territory",2002-10-01,33.781908,64.6,77.6
"Australian Capital Territory",2003-01-01,32.793523,61.9,78.6
"Australian Capital Territory",2003-04-01,32.7356,63.5,78.6
"Australian Capital Territory",2003-07-01,36.761701,69.4,79.1
"Australian Capital Territory",2003-10-01,38.030811,70.3,79.5
"Australian Capital Territory",2004-01-01,34.268334,65.7,80.2
"Australian Capital Territory",2004-04-01,35.19202,65.9,80.6
"Australian Capital Territory",2004-07-01,36.82946,70,80.9
"Australian Capital Territory",2004-10-01,34.386573,66.4,81.5
"Australian Capital Territory",2005-01-01,35.347311,66.2,82.1
"Australian Capital Territory",2005-04-01,38.543147,69.2,82.6
"Australian Capital Territory",2005-07-01,39.724808,70.9,83.4
"Australian Capital Territory",2005-10-01,38.765903,71,83.8
"Australian Capital Territory",2006-01-01,39.185922,70.3,84.5
"Australian Capital Territory",2006-04-01,41.342306,69.3,85.9
"Australian Capital Territory",2006-07-01,45.618953,75,86.7
"Australian Capital Territory",2006-10-01,45.454872,74.7,86.6
"Australian Capital Territory",2007-01-01,47.978985,74.6,86.6
"Australian Capital Territory",2007-04-01,45.747916,69.3,87.7
"Australian Capital Territory",2007-07-01,50.519857,76.8,88.3
"Australian Capital Territory",2007-10-01,45.558355,69.9,89.1
"Australian Capital Territory",2008-01-01,48.961052,67.1,90.3
"Australian Capital Territory",2008-04-01,58.127957,72.3,91.6
"Australian Capital Territory",2008-07-01,52.482471,69.1,92.7
"Australian Capital Territory",2008-10-01,52.045103,68.8,92.4
"Australian Capital Territory",2009-01-01,52.577797,70.6,92.5
"Australian Capital Territory",2009-04-01,48.631628,67.5,92.9
"Australian Capital Territory",2009-07-01,54.502291,72.6,93.8
"Australian Capital Territory",2009-10-01,54.316894,71.7,94.3
"Australian Capital Territory",2010-01-01,60.811699,80.2,95.2
"Australian Capital Territory",2010-04-01,55.473064,74.8,95.8
"Australian Capital Territory",2010-07-01,55.680203,75.4,96.5
"Australian Capital Territory",2010-10-01,55.509841,73.3,96.9
"Australian Capital Territory",2011-01-01,53.008043,70.4,98.3
"Australian Capital Territory",2011-04-01,55.150822,73.3,99.2
"Australian Capital Territory",2011-07-01,60.111832,77,99.8
"Australian Capital Territory",2011-10-01,55.729979,72.1,99.8
"Australian Capital Territory",2012-01-01,57.486915,73.6,99.9
"Australian Capital Territory",2012-04-01,55.814153,68.8,100.4
"Australian Capital Territory",2012-07-01,58.076784,72.2,101.8
"Australian Capital Territory",2012-10-01,53.54834,65.8,102
"Australian Capital Territory",2013-01-01,56.837377,69.9,102.4
"Australian Capital Territory",2013-04-01,55.628492,68.2,102.8
"Australian Capital Territory",2013-07-01,58.530928,71.5,104
"Australian Capital Territory",2013-10-01,54.283868,66.2,104.8
"Australian Capital Territory",2014-01-01,50.201816,65.4,105.4
"Australian Capital Territory",2014-04-01,49.567818,63.3,105.9
"Australian Capital Territory",2014-07-01,61.573688,68.9,106.4
"Australian Capital Territory",2014-10-01,60.303741,65.6,106.6
"Australian Capital Territory",2015-01-01,60.6281,66.6,106.8
"Australian Capital Territory",2015-04-01,66.625605,71.1,107.5
"Australian Capital Territory",2015-07-01,71.089253,74.6,108
"Australian Capital Territory",2015-10-01,65.456561,68,108.4
"Australian Capital Territory",2016-01-01,67.448092,70.1,108.2
"Australian Capital Territory",2016-04-01,66.77506,69.2,108.6
"New South Wales",1998-01-01,342.654047,60,67
"New South Wales",1998-04-01,316.055947,56,67.4
"New South Wales",1998-07-01,341.463722,58,67.5
"New South Wales",1998-10-01,358.506162,60,67.8
"New South Wales",1999-01-01,360.072783,61,67.8
"New South Wales",1999-04-01,332.242861,58,68.1
"New South Wales",1999-07-01,374.458393,61,68.7
"New South Wales",1999-10-01,394.379434,61,69.1
"New South Wales",2000-01-01,397.868896,60.3,69.7
"New South Wales",2000-04-01,374.004852,58.1,70.2
"New South Wales",2000-07-01,566.315452,59.7,72.9
"New South Wales",2000-10-01,470.016604,58.7,73.1
"New South Wales",2001-01-01,441.870999,57.9,73.9
"New South Wales",2001-04-01,388.267829,54.1,74.5
"New South Wales",2001-07-01,428.654449,57,74.7
"New South Wales",2001-10-01,412.850425,56.8,75.4
"New South Wales",2002-01-01,429.294358,59.2,76.1
"New South Wales",2002-04-01,390.71329,55.5,76.6
"New South Wales",2002-07-01,414.029659,58.4,77.1
"New South Wales",2002-10-01,442.579495,62.1,77.6
"New South Wales",2003-01-01,428.277742,60.6,78.6
"New South Wales",2003-04-01,381.532796,55.4,78.6
"New South Wales",2003-07-01,459.54554,62.5,79.1
