unique_id,ds,y
"Australian Capital Territory_Bulls, bullocks and steers",1976-07-01,2300.0
"Australian Capital Territory_Bulls, bullocks and steers",1976-08-01,2100.0
"Australian Capital Territory_Bulls, bullocks and steers",1976-09-01,2100.0
"Australian Capital Territory_Bulls, bullocks and steers",1976-10-01,1900.0
"Australian Capital Territory_Bulls, bullocks and steers",1976-11-01,2100.0
"Australian Capital Territory_Bulls, bullocks and steers",1976-12-01,1800.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-01-01,1800.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-02-01,1900.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-03-01,2700.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-04-01,2300.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-05-01,2500.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-06-01,2900.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-07-01,2400.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-08-01,2400.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-09-01,2200.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-10-01,2300.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-11-01,2400.0
"Australian Capital Territory_Bulls, bullocks and steers",1977-12-01,2200.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-01-01,2400.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-02-01,2600.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-03-01,2800.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-04-01,2600.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-05-01,2900.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-06-01,3000.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-07-01,2500.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-08-01,2800.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-09-01,2600.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-10-01,2800.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-11-01,2700.0
"Australian Capital Territory_Bulls, bullocks and steers",1978-12-01,2400.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-01-01,2400.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-02-01,2600.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-03-01,2300.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-04-01,1700.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-05-01,2000.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-06-01,2000.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-07-01,1600.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-08-01,1600.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-09-01,2000.0
"Australian Capital Territory_Bulls, bullocks and steers",1979-10-01,2100.0
