unique_id,ds,y
Beer,1956-03-01,284.0
Beer,1956-06-01,213.0
Beer,1956-09-01,227.0
Beer,1956-12-01,308.0
Beer,1957-03-01,262.0
Beer,1957-06-01,228.0
Beer,1957-09-01,236.0
Beer,1957-12-01,320.0
Beer,1958-03-01,272.0
Beer,1958-06-01,233.0
Beer,1958-09-01,237.0
Beer,1958-12-01,313.0
Beer,1959-03-01,261.0
Beer,1959-06-01,227.0
Beer,1959-09-01,250.0
Beer,1959-12-01,314.0
Beer,1960-03-01,286.0
Beer,1960-06-01,227.0
Beer,1960-09-01,260.0
Beer,1960-12-01,311.0
Beer,1961-03-01,295.0
Beer,1961-06-01,233.0
Beer,1961-09-01,257.0
Beer,1961-12-01,339.0
Beer,1962-03-01,279.0
Beer,1962-06-01,250.0
Beer,1962-09-01,270.0
Beer,1962-12-01,346.0
Beer,1963-03-01,294.0
Beer,1963-06-01,255.0
Beer,1963-09-01,278.0
Beer,1963-12-01,363.0
Beer,1964-03-01,313.0
Beer,1964-06-01,273.0
Beer,1964-09-01,300.0
Beer,1964-12-01,370.0
Beer,1965-03-01,331.0
Beer,1965-06-01,288.0
Beer,1965-09-01,306.0
Beer,1965-12-01,386.0
Beer,1966-03-01,335.0
Beer,1966-06-01,288.0
Beer,1966-09-01,308.0
Beer,1966-12-01,402.0
Beer,1967-03-01,353.0
Beer,1967-06-01,316.0
Beer,1967-09-01,325.0
Beer,1967-12-01,405.0
Beer,1968-03-01,393.0
Beer,1968-06-01,319.0
Beer,1968-09-01,327.0
Beer,1968-12-01,442.0
Beer,1969-03-01,383.0
Beer,1969-06-01,332.0
Beer,1969-09-01,361.0
Beer,1969-12-01,446.0
Beer,1970-03-01,387.0
Beer,1970-06-01,357.0
Beer,1970-09-01,374.0
Beer,1970-12-01,466.0
Beer,1971-03-01,410.0
Beer,1971-06-01,370.0
Beer,1971-09-01,379.0
Beer,1971-12-01,487.0
Beer,1972-03-01,419.0
Beer,1972-06-01,378.0
Beer,1972-09-01,393.0
Beer,1972-12-01,506.0
Beer,1973-03-01,458.0
Beer,1973-06-01,387.0
Beer,1973-09-01,427.0
Beer,1973-12-01,565.0
Beer,1974-03-01,465.0
Beer,1974-06-01,445.0
Beer,1974-09-01,450.0
Beer,1974-12-01,556.0
Beer,1975-03-01,500.0
Beer,1975-06-01,452.0
Beer,1975-09-01,435.0
Beer,1975-12-01,554.0
Beer,1976-03-01,510.0
Beer,1976-06-01,433.0
Beer,1976-09-01,453.0
Beer,1976-12-01,548.0
Beer,1977-03-01,486.0
Beer,1977-06-01,453.0
Beer,1977-09-01,457.0
Beer,1977-12-01,566.0
Beer,1978-03-01,515.0
Beer,1978-06-01,464.0
Beer,1978-09-01,431.0
Beer,1978-12-01,588.0
Beer,1979-03-01,503.0
Beer,1979-06-01,443.0
Beer,1979-09-01,448.0
Beer,1979-12-01,555.0
Beer,1980-03-01,513.0
Beer,1980-06-01,427.0
Beer,1980-09-01,473.0
Beer,1980-12-01,526.0
Beer,1981-03-01,548.0
Beer,1981-06-01,440.0
Beer,1981-09-01,469.0
Beer,1981-12-01,575.0
Beer,1982-03-01,493.0
Beer,1982-06-01,433.0
Beer,1982-09-01,480.0
Beer,1982-12-01,576.0
Beer,1983-03-01,475.0
Beer,1983-06-01,405.0
Beer,1983-09-01,435.0
Beer,1983-12-01,535.0
Beer,1984-03-01,453.0
Beer,1984-06-01,430.0
Beer,1984-09-01,417.0
Beer,1984-12-01,552.0
Beer,1985-03-01,464.0
Beer,1985-06-01,417.0
Beer,1985-09-01,423.0
Beer,1985-12-01,554.0
Beer,1986-03-01,459.0
Beer,1986-06-01,428.0
Beer,1986-09-01,429.0
Beer,1986-12-01,534.0
Beer,1987-03-01,481.0
Beer,1987-06-01,416.0
Beer,1987-09-01,440.0
Beer,1987-12-01,538.0
Beer,1988-03-01,474.0
Beer,1988-06-01,440.0
Beer,1988-09-01,447.0
Beer,1988-12-01,598.0
Beer,1989-03-01,467.0
Beer,1989-06-01,439.0
Beer,1989-09-01,446.0
Beer,1989-12-01,567.0
Beer,1990-03-01,485.0
Beer,1990-06-01,441.0
Beer,1990-09-01,429.0
Beer,1990-12-01,599.0
Beer,1991-03-01,464.0
Beer,1991-06-01,424.0
Beer,1991-09-01,436.0
Beer,1991-12-01,574.0
Beer,1992-03-01,443.0
