ds,y
1973-01-01,55
1973-02-01,60
1973-03-01,68
1973-04-01,63
1973-05-01,65
1973-06-01,61
1973-07-01,54
1973-08-01,52
1973-09-01,46
1973-10-01,42
1973-11-01,37
1973-12-01,30
1974-01-01,37
1974-02-01,44
1974-03-01,55
1974-04-01,53
1974-05-01,58
1974-06-01,50
1974-07-01,48
1974-08-01,45
1974-09-01,41
1974-10-01,34
1974-11-01,30
1974-12-01,24
1975-01-01,29
1975-02-01,34
1975-03-01,44
1975-04-01,54
1975-05-01,57
1975-06-01,51
1975-07-01,51
1975-08-01,53
1975-09-01,46
1975-10-01,46
1975-11-01,46
1975-12-01,39
1976-01-01,41
1976-02-01,53
1976-03-01,55
1976-04-01,62
1976-05-01,55
1976-06-01,56
1976-07-01,57
1976-08-01,59
1976-09-01,58
1976-10-01,55
1976-11-01,49
1976-12-01,47
1977-01-01,57
1977-02-01,68
1977-03-01,84
1977-04-01,81
1977-05-01,78
1977-06-01,74
1977-07-01,64
1977-08-01,74
1977-09-01,71
1977-10-01,63
1977-11-01,55
1977-12-01,51
1978-01-01,57
1978-02-01,63
1978-03-01,75
1978-04-01,85
1978-05-01,80
1978-06-01,77
1978-07-01,68
1978-08-01,72
1978-09-01,68
1978-10-01,70
1978-11-01,53
1978-12-01,50
1979-01-01,53
1979-02-01,58
1979-03-01,73
1979-04-01,72
1979-05-01,68
1979-06-01,63
1979-07-01,64
1979-08-01,68
1979-09-01,60
1979-10-01,54
1979-11-01,41
1979-12-01,35
1980-01-01,43
1980-02-01,44
1980-03-01,44
1980-04-01,36
1980-05-01,44
1980-06-01,50
1980-07-01,55
1980-08-01,61
1980-09-01,50
1980-10-01,46
1980-11-01,39
1980-12-01,33
1981-01-01,37
1981-02-01,40
1981-03-01,49
1981-04-01,44
1981-05-01,45
1981-06-01,38
1981-07-01,36
1981-08-01,34
1981-09-01,28
1981-10-01,29
1981-11-01,27
1981-12-01,29
1982-01-01,28
1982-02-01,29
1982-03-01,36
1982-04-01,32
1982-05-01,36
1982-06-01,34
1982-07-01,31
1982-08-01,36
1982-09-01,39
1982-10-01,40
1982-11-01,39
1982-12-01,33
1983-01-01,44
1983-02-01,46
1983-03-01,57
1983-04-01,59
1983-05-01,64
1983-06-01,59
1983-07-01,51
1983-08-01,50
1983-09-01,48
1983-10-01,51
1983-11-01,45
1983-12-01,48
1984-01-01,52
1984-02-01,58
1984-03-01,63
1984-04-01,61
1984-05-01,59
1984-06-01,58
1984-07-01,52
1984-08-01,48
1984-09-01,53
1984-10-01,55
1984-11-01,42
1984-12-01,38
1985-01-01,48
1985-02-01,55
1985-03-01,67
1985-04-01,60
1985-05-01,65
1985-06-01,65
1985-07-01,63
1985-08-01,61
1985-09-01,54
1985-10-01,52
1985-11-01,51
1985-12-01,47
1986-01-01,55
1986-02-01,59
1986-03-01,89
1986-04-01,84
1986-05-01,75
1986-06-01,66
1986-07-01,57
1986-08-01,52
1986-09-01,60
1986-10-01,54
1986-11-01,48
1986-12-01,49
1987-01-01,53
1987-02-01,59
1987-03-01,73
1987-04-01,72
1987-05-01,62
1987-06-01,58
1987-07-01,55
1987-08-01,56
1987-09-01,52
1987-10-01,52
1987-11-01,43
1987-12-01,37
1988-01-01,43
1988-02-01,55
1988-03-01,68
1988-04-01,68
1988-05-01,64
1988-06-01,65
1988-07-01,57
1988-08-01,59
1988-09-01,54
1988-10-01,57
1988-11-01,43
1988-12-01,42
1989-01-01,52
1989-02-01,51
1989-03-01,58
1989-04-01,60
1989-05-01,61
1989-06-01,58
1989-07-01,62
1989-08-01,61
1989-09-01,49
1989-10-01,51
1989-11-01,47
1989-12-01,40
1990-01-01,45
1990-02-01,50
1990-03-01,58
1990-04-01,52
1990-05-01,50
1990-06-01,50
1990-07-01,46
1990-08-01,46
1990-09-01,38
1990-10-01,37
1990-11-01,34
1990-12-01,29
1991-01-01,30
1991-02-01,40
1991-03-01,46
1991-04-01,46
1991-05-01,47
1991-06-01,47
1991-07-01,43
1991-08-01,46
1991-09-01,37
1991-10-01,41
1991-11-01,39
1991-12-01,36
1992-01-01,48
1992-02-01,55
1992-03-01,56
1992-04-01,53
1992-05-01,52
1992-06-01,53
1992-07-01,52
1992-08-01,56
1992-09-01,51
1992-10-01,48
1992-11-01,42
1992-12-01,42
1993-01-01,44
1993-02-01,50
1993-03-01,60
1993-04-01,66
1993-05-01,58
1993-06-01,59
1993-07-01,55
1993-08-01,57
1993-09-01,57
1993-10-01,56
1993-11-01,53
1993-12-01,51
1994-01-01,45
1994-02-01,58
1994-03-01,74
1994-04-01,65
1994-05-01,65
1994-06-01,55
1994-07-01,52
1994-08-01,59
1994-09-01,54
1994-10-01,57
1994-11-01,45
1994-12-01,40
1995-01-01,47
1995-02-01,47
1995-03-01,60
1995-04-01,58
1995-05-01,63
1995-06-01,64
1995-07-01,64
1995-08-01,63
1995-09-01,55
1995-10-01,54
1995-11-01,44
