"unique_id","ds","y"
"Lake Huron",1875-01-01,580.38
"Lake Huron",1876-01-01,581.86
"Lake Huron",1877-01-01,580.97
"Lake Huron",1878-01-01,580.8
"Lake Huron",1879-01-01,579.79
"Lake Huron",1880-01-01,580.39
"Lake Huron",1881-01-01,580.42
"Lake Huron",1882-01-01,580.82
"Lake Huron",1883-01-01,581.4
"Lake Huron",1884-01-01,581.32
"Lake Huron",1885-01-01,581.44
"Lake Huron",1886-01-01,581.68
"Lake Huron",1887-01-01,581.17
"Lake Huron",1888-01-01,580.53
"Lake Huron",1889-01-01,580.01
"Lake Huron",1890-01-01,579.91
"Lake Huron",1891-01-01,579.14
"Lake Huron",1892-01-01,579.16
"Lake Huron",1893-01-01,579.55
"Lake Huron",1894-01-01,579.67
"Lake Huron",1895-01-01,578.44
"Lake Huron",1896-01-01,578.24
"Lake Huron",1897-01-01,579.1
"Lake Huron",1898-01-01,579.09
"Lake Huron",1899-01-01,579.35
"Lake Huron",1900-01-01,578.82
"Lake Huron",1901-01-01,579.32
"Lake Huron",1902-01-01,579.01
"Lake Huron",1903-01-01,579
"Lake Huron",1904-01-01,579.8
"Lake Huron",1905-01-01,579.83
"Lake Huron",1906-01-01,579.72
"Lake Huron",1907-01-01,579.89
"Lake Huron",1908-01-01,580.01
"Lake Huron",1909-01-01,579.37
"Lake Huron",1910-01-01,578.69
"Lake Huron",1911-01-01,578.19
"Lake Huron",1912-01-01,578.67
"Lake Huron",1913-01-01,579.55
"Lake Huron",1914-01-01,578.92
"Lake Huron",1915-01-01,578.09
"Lake Huron",1916-01-01,579.37
"Lake Huron",1917-01-01,580.13
"Lake Huron",1918-01-01,580.14
"Lake Huron",1919-01-01,579.51
"Lake Huron",1920-01-01,579.24
"Lake Huron",1921-01-01,578.66
"Lake Huron",1922-01-01,578.86
"Lake Huron",1923-01-01,578.05
"Lake Huron",1924-01-01,577.79
"Lake Huron",1925-01-01,576.75
"Lake Huron",1926-01-01,576.75
"Lake Huron",1927-01-01,577.82
"Lake Huron",1928-01-01,578.64
"Lake Huron",1929-01-01,580.58
"Lake Huron",1930-01-01,579.48
"Lake Huron",1931-01-01,577.38
"Lake Huron",1932-01-01,576.9
"Lake Huron",1933-01-01,576.94
"Lake Huron",1934-01-01,576.24
"Lake Huron",1935-01-01,576.84
"Lake Huron",1936-01-01,576.85
"Lake Huron",1937-01-01,576.9
"Lake Huron",1938-01-01,577.79
"Lake Huron",1939-01-01,578.18
"Lake Huron",1940-01-01,577.51
"Lake Huron",1941-01-01,577.23
"Lake Huron",1942-01-01,578.42
"Lake Huron",1943-01-01,579.61
"Lake Huron",1944-01-01,579.05
"Lake Huron",1945-01-01,579.26
"Lake Huron",1946-01-01,579.22
"Lake Huron",1947-01-01,579.38
"Lake Huron",1948-01-01,579.1
"Lake Huron",1949-01-01,577.95
"Lake Huron",1950-01-01,578.12
"Lake Huron",1951-01-01,579.75
"Lake Huron",1952-01-01,580.85
"Lake Huron",1953-01-01,580.41
"Lake Huron",1954-01-01,579.96
"Lake Huron",1955-01-01,579.61
"Lake Huron",1956-01-01,578.76
"Lake Huron",1957-01-01,578.18
"Lake Huron",1958-01-01,577.21
"Lake Huron",1959-01-01,577.13
"Lake Huron",1960-01-01,579.1
"Lake Huron",1961-01-01,578.25
"Lake Huron",1962-01-01,577.91
"Lake Huron",1963-01-01,576.89
"Lake Huron",1964-01-01,575.96
"Lake Huron",1965-01-01,576.8
"Lake Huron",1966-01-01,577.68
"Lake Huron",1967-01-01,578.38
"Lake Huron",1968-01-01,578.52
"Lake Huron",1969-01-01,579.74
"Lake Huron",1970-01-01,579.31
"Lake Huron",1971-01-01,579.89
"Lake Huron",1972-01-01,579.96
