"","Month","Concession","Type","ATC1","ATC1_desc","ATC2","ATC2_desc","Scripts","Cost"
"1",1991 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18228,67877
"2",1991 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15327,57011
"3",1991 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14775,55020
"4",1991 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15380,57222
"5",1991 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14371,52120
"6",1991 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15028,54299
"7",1992 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11040,39753
"8",1992 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15165,54405
"9",1992 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16898,61108
"10",1992 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18141,65356
"11",1992 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14604,52804
"12",1992 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13691,50083
"13",1992 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14982,55635.81
"14",1992 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13860,51111.5
"15",1992 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14071,53778.52
"16",1992 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13342,51083.8
"17",1992 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12430,47557.17
"18",1992 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13595,52042.15
"19",1993 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10824,41636.38
"20",1993 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16863,66216.82
"21",1993 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20474,80831.09
"22",1993 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18532,73444.34
"23",1993 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17688,70393.09
"24",1993 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16588,66598.48
"25",1993 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16455,68661.61
"26",1993 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15997,67837.64
"27",1993 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15419,65289.87
"28",1993 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14086,59544.72
"29",1993 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13456,57020.7
"30",1993 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15789,67196.36
"31",1994 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11269,48136.22
"32",1994 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17359,75784.19
"33",1994 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",22105,97465
