unique_id,ds,y
hare,1845-01-01,19580
hare,1846-01-01,19600
hare,1847-01-01,19610
hare,1848-01-01,11990
hare,1849-01-01,28040
hare,1850-01-01,58000
hare,1851-01-01,74600
hare,1852-01-01,75090
hare,1853-01-01,88480
hare,1854-01-01,61280
hare,1855-01-01,74670
hare,1856-01-01,88060
hare,1857-01-01,68510
hare,1858-01-01,32190
hare,1859-01-01,12640
hare,1860-01-01,21490
hare,1861-01-01,30350
hare,1862-01-01,2180
hare,1863-01-01,152650
hare,1864-01-01,148360
hare,1865-01-01,85810
hare,1866-01-01,41410
hare,1867-01-01,14750
hare,1868-01-01,2280
hare,1869-01-01,5910
hare,1870-01-01,9950
hare,1871-01-01,10440
hare,1872-01-01,70640
hare,1873-01-01,50120
hare,1874-01-01,50130
hare,1875-01-01,101250
hare,1876-01-01,97120
hare,1877-01-01,86510
hare,1878-01-01,72170
hare,1879-01-01,38320
hare,1880-01-01,10110
hare,1881-01-01,7740
hare,1882-01-01,9670
hare,1883-01-01,43120
hare,1884-01-01,52210
hare,1885-01-01,134850
hare,1886-01-01,134860
hare,1887-01-01,103790
hare,1888-01-01,46100
hare,1889-01-01,15030
hare,1890-01-01,24200
hare,1891-01-01,41650
hare,1892-01-01,52340
hare,1893-01-01,53780
hare,1894-01-01,70400
hare,1895-01-01,85810
hare,1896-01-01,56690
hare,1897-01-01,16590
hare,1898-01-01,6160
hare,1899-01-01,2300
hare,1900-01-01,12820
hare,1901-01-01,4720
hare,1902-01-01,4730
hare,1903-01-01,37220
hare,1904-01-01,69720
hare,1905-01-01,57780
hare,1906-01-01,28680
hare,1907-01-01,23370
hare,1908-01-01,21540
hare,1909-01-01,26340
hare,1910-01-01,53100
hare,1911-01-01,68480
hare,1912-01-01,75580
hare,1913-01-01,57920
hare,1914-01-01,40970
hare,1915-01-01,24950
hare,1916-01-01,12590
hare,1917-01-01,4970
hare,1918-01-01,4500
hare,1919-01-01,11210
hare,1920-01-01,56600
hare,1921-01-01,69630
hare,1922-01-01,77740
hare,1923-01-01,80530
hare,1924-01-01,73380
hare,1925-01-01,36930
hare,1926-01-01,4640
hare,1927-01-01,2540
hare,1928-01-01,1800
hare,1929-01-01,2390
hare,1930-01-01,4230
hare,1931-01-01,19520
hare,1932-01-01,82110
hare,1933-01-01,89760
hare,1934-01-01,81660
hare,1935-01-01,15760
lynx,1845-01-01,30090
lynx,1846-01-01,45150
lynx,1847-01-01,49150
lynx,1848-01-01,39520
lynx,1849-01-01,21230
lynx,1850-01-01,8420
lynx,1851-01-01,5560
lynx,1852-01-01,5080
lynx,1853-01-01,10170
lynx,1854-01-01,19600
lynx,1855-01-01,32910
lynx,1856-01-01,34380
lynx,1857-01-01,29590
lynx,1858-01-01,21300
lynx,1859-01-01,13690
lynx,1860-01-01,7650
lynx,1861-01-01,4080
lynx,1862-01-01,4090
lynx,1863-01-01,14330
lynx,1864-01-01,38220
lynx,1865-01-01,60780
lynx,1866-01-01,70770
lynx,1867-01-01,72770
lynx,1868-01-01,42680
lynx,1869-01-01,16390
lynx,1870-01-01,9830
lynx,1871-01-01,5800
lynx,1872-01-01,5260
lynx,1873-01-01,18910
lynx,1874-01-01,30950
lynx,1875-01-01,31180
lynx,1876-01-01,46340
lynx,1877-01-01,45770
lynx,1878-01-01,44150
lynx,1879-01-01,36330
lynx,1880-01-01,12030
lynx,1881-01-01,12600
lynx,1882-01-01,18340
lynx,1883-01-01,35140
lynx,1884-01-01,43770
lynx,1885-01-01,65690
lynx,1886-01-01,79350
lynx,1887-01-01,51650
lynx,1888-01-01,32590
lynx,1889-01-01,22450
lynx,1890-01-01,16160
lynx,1891-01-01,14120
lynx,1892-01-01,20380
lynx,1893-01-01,33330
lynx,1894-01-01,46000
lynx,1895-01-01,51410
lynx,1896-01-01,46430
lynx,1897-01-01,33680
lynx,1898-01-01,18010
lynx,1899-01-01,8860
lynx,1900-01-01,7130
lynx,1901-01-01,9470
lynx,1902-01-01,14860
lynx,1903-01-01,31470
lynx,1904-01-01,60570
lynx,1905-01-01,63510
lynx,1906-01-01,54700
lynx,1907-01-01,6300
lynx,1908-01-01,3410
lynx,1909-01-01,5440
lynx,1910-01-01,11650
lynx,1911-01-01,20350
lynx,1912-01-01,32880
lynx,1913-01-01,39550
lynx,1914-01-01,43360
lynx,1915-01-01,40830
lynx,1916-01-01,30360
lynx,1917-01-01,17180
lynx,1918-01-01,6820
lynx,1919-01-01,3190
lynx,1920-01-01,3520
lynx,1921-01-01,9940
lynx,1922-01-01,20300
lynx,1923-01-01,31990
lynx,1924-01-01,42360
lynx,1925-01-01,49080
lynx,1926-01-01,53990
lynx,1927-01-01,52250
lynx,1928-01-01,37700
lynx,1929-01-01,19140
lynx,1930-01-01,6980
lynx,1931-01-01,8310
lynx,1932-01-01,16010
lynx,1933-01-01,24820
lynx,1934-01-01,29700
lynx,1935-01-01,35400
