ds,unique_id,Title,y
1939-01-31,CEU0500000001,Total Private,25338.0
1939-02-28,CEU0500000001,Total Private,25447.0
1939-03-31,CEU0500000001,Total Private,25833.0
1939-04-30,CEU0500000001,Total Private,25801.0
1939-05-31,CEU0500000001,Total Private,26113.0
1939-06-30,CEU0500000001,Total Private,26485.0
1939-07-31,CEU0500000001,Total Private,26481.0
1939-08-31,CEU0500000001,Total Private,26848.0
1939-09-30,CEU0500000001,Total Private,27468.0
1939-10-31,CEU0500000001,Total Private,27830.0
1939-11-30,CEU0500000001,Total Private,27740.0
1939-12-31,CEU0500000001,Total Private,27886.0
1940-01-31,CEU0500000001,Total Private,26847.0
1940-02-29,CEU0500000001,Total Private,26902.0
1940-03-31,CEU0500000001,Total Private,27205.0
1940-04-30,CEU0500000001,Total Private,27255.0
1940-05-31,CEU0500000001,Total Private,27535.0
1940-06-30,CEU0500000001,Total Private,27765.0
1940-07-31,CEU0500000001,Total Private,27789.0
1940-08-31,CEU0500000001,Total Private,28332.0
1940-09-30,CEU0500000001,Total Private,29007.0
1940-10-31,CEU0500000001,Total Private,29399.0
1940-11-30,CEU0500000001,Total Private,29619.0
1940-12-31,CEU0500000001,Total Private,30221.0
1941-01-31,CEU0500000001,Total Private,29402.0
1941-02-28,CEU0500000001,Total Private,29671.0
1941-03-31,CEU0500000001,Total Private,30079.0
1941-04-30,CEU0500000001,Total Private,30610.0
1941-05-31,CEU0500000001,Total Private,31379.0
1941-06-30,CEU0500000001,Total Private,31999.0
1941-07-31,CEU0500000001,Total Private,32545.0
1941-08-31,CEU0500000001,Total Private,33014.0
1941-09-30,CEU0500000001,Total Private,33417.0
1941-10-31,CEU0500000001,Total Private,33457.0
1941-11-30,CEU0500000001,Total Private,33367.0
1941-12-31,CEU0500000001,Total Private,33552.0
1942-01-31,CEU0500000001,Total Private,32660.0
1942-02-28,CEU0500000001,Total Private,32739.0
1942-03-31,CEU0500000001,Total Private,33240.0
1942-04-30,CEU0500000001,Total Private,33764.0
1942-05-31,CEU0500000001,Total Private,34203.0
1942-06-30,CEU0500000001,Total Private,34624.0
1942-07-31,CEU0500000001,Total Private,35065.0
1942-08-31,CEU0500000001,Total Private,35460.0
1942-09-30,CEU0500000001,Total Private,35771.0
1942-10-31,CEU0500000001,Total Private,35852.0
1942-11-30,CEU0500000001,Total Private,35867.0
1942-12-31,CEU0500000001,Total Private,36209.0
1943-01-31,CEU0500000001,Total Private,35494.0
1943-02-28,CEU0500000001,Total Private,35627.0
1943-03-31,CEU0500000001,Total Private,35955.0
1943-04-30,CEU0500000001,Total Private,36212.0
1943-05-31,CEU0500000001,Total Private,36202.0
1943-06-30,CEU0500000001,Total Private,36608.0
1943-07-31,CEU0500000001,Total Private,36637.0
1943-08-31,CEU0500000001,Total Private,36628.0
1943-09-30,CEU0500000001,Total Private,36584.0
1943-10-31,CEU0500000001,Total Private,36658.0
1943-11-30,CEU0500000001,Total Private,36810.0
1943-12-31,CEU0500000001,Total Private,36815.0
1944-01-31,CEU0500000001,Total Private,36018.0
1944-02-29,CEU0500000001,Total Private,35973.0
1944-03-31,CEU0500000001,Total Private,35948.0
1944-04-30,CEU0500000001,Total Private,35833.0
1944-05-31,CEU0500000001,Total Private,35768.0
1944-06-30,CEU0500000001,Total Private,35949.0
1944-07-31,CEU0500000001,Total Private,35861.0
1944-08-31,CEU0500000001,Total Private,35828.0
