ds,y
1973-01-01,91.57
1973-02-01,91.56
1973-03-01,91.4
1973-04-01,91.39
1973-05-01,91.2
1973-06-01,90.9
1973-07-01,90.99
1973-08-01,91.17
1973-09-01,90.98
1973-10-01,91.11
1973-11-01,91.2
1973-12-01,90.92
1974-01-01,90.73
1974-02-01,90.79
1974-03-01,90.86
1974-04-01,90.83
1974-05-01,90.8
1974-06-01,90.21
1974-07-01,90.1
1974-08-01,90.1
1974-09-01,89.66
1974-10-01,89.81
1974-11-01,89.4
1974-12-01,89.34
1975-01-01,89.16
1975-02-01,88.71
1975-03-01,89.28
1975-04-01,89.36
1975-05-01,89.64
1975-06-01,89.53
1975-07-01,89.32
1975-08-01,89.14
1975-09-01,89.41
1975-10-01,89.53
1975-11-01,89.16
1975-12-01,88.98
1976-01-01,88.5
1976-02-01,88.63
1976-03-01,88.62
1976-04-01,88.76
1976-05-01,89.07
1976-06-01,88.47
1976-07-01,88.41
1976-08-01,88.57
1976-09-01,88.23
1976-10-01,87.93
1976-11-01,87.88
1976-12-01,88.18
1977-01-01,88.04
1977-02-01,88.18
1977-03-01,88.78
1977-04-01,89.29
1977-05-01,89.14
1977-06-01,89.14
1977-07-01,89.42
1977-08-01,89.26
1977-09-01,89.37
1977-10-01,89.51
1977-11-01,89.66
1977-12-01,89.39
1978-01-01,89.02
1978-02-01,89.05
1978-03-01,88.97
1978-04-01,88.57
1978-05-01,88.44
1978-06-01,88.52
1978-07-01,87.92
1978-08-01,87.71
1978-09-01,87.52
1978-10-01,87.37
1978-11-01,87.27
1978-12-01,87.07
1979-01-01,86.83
1979-02-01,86.88
1979-03-01,87.48
1979-04-01,87.3
1979-05-01,87.87
1979-06-01,87.85
1979-07-01,87.83
1979-08-01,87.4
1979-09-01,86.89
1979-10-01,87.38
1979-11-01,87.48
1979-12-01,87.21
1980-01-01,87.02
1980-02-01,87.1
1980-03-01,87.02
1980-04-01,87.07
1980-05-01,86.74
1980-06-01,86.35
1980-07-01,86.32
1980-08-01,86.77
1980-09-01,86.77
1980-10-01,86.49
1980-11-01,86.02
1980-12-01,85.52
1981-01-01,85.02
1981-02-01,84.42
1981-03-01,85.29
1981-04-01,85.32
