"unique_id","ds","y"
"Canadian gas production",1960-01-01,1.4306
"Canadian gas production",1960-02-01,1.3059
"Canadian gas production",1960-03-01,1.4022
"Canadian gas production",1960-04-01,1.1699
"Canadian gas production",1960-05-01,1.1161
"Canadian gas production",1960-06-01,1.0113
"Canadian gas production",1960-07-01,0.966
"Canadian gas production",1960-08-01,0.9773
"Canadian gas production",1960-09-01,1.0311
"Canadian gas production",1960-10-01,1.2521
"Canadian gas production",1960-11-01,1.4419
"Canadian gas production",1960-12-01,1.5637
"Canadian gas production",1961-01-01,1.745
"Canadian gas production",1961-02-01,1.5835
"Canadian gas production",1961-03-01,1.677
"Canadian gas production",1961-04-01,1.5155
"Canadian gas production",1961-05-01,1.4051
"Canadian gas production",1961-06-01,1.2464
"Canadian gas production",1961-07-01,1.2238
"Canadian gas production",1961-08-01,1.2917
"Canadian gas production",1961-09-01,1.3541
"Canadian gas production",1961-10-01,1.5552
"Canadian gas production",1961-11-01,1.7648
"Canadian gas production",1961-12-01,2.2549
"Canadian gas production",1962-01-01,2.4164
"Canadian gas production",1962-02-01,2.3484
"Canadian gas production",1962-03-01,2.3852
"Canadian gas production",1962-04-01,2.0651
"Canadian gas production",1962-05-01,2.0594
"Canadian gas production",1962-06-01,1.9263
"Canadian gas production",1962-07-01,1.9631
"Canadian gas production",1962-08-01,2.0396
"Canadian gas production",1962-09-01,2.1104
"Canadian gas production",1962-10-01,2.3427
"Canadian gas production",1962-11-01,2.422
"Canadian gas production",1962-12-01,2.8554
"Canadian gas production",1963-01-01,3.0566
"Canadian gas production",1963-02-01,2.6798
"Canadian gas production",1963-03-01,2.8101
"Canadian gas production",1963-04-01,2.5863
"Canadian gas production",1963-05-01,2.4674
"Canadian gas production",1963-06-01,2.2407
"Canadian gas production",1963-07-01,2.2662
"Canadian gas production",1963-08-01,2.2889
"Canadian gas production",1963-09-01,2.4305
"Canadian gas production",1963-10-01,2.6345
"Canadian gas production",1963-11-01,2.9716
"Canadian gas production",1963-12-01,3.2577
"Canadian gas production",1964-01-01,3.4872
"Canadian gas production",1964-02-01,3.2322
"Canadian gas production",1964-03-01,3.2464
"Canadian gas production",1964-04-01,3.1104
"Canadian gas production",1964-05-01,2.8838
"Canadian gas production",1964-06-01,2.592
"Canadian gas production",1964-07-01,2.6996
"Canadian gas production",1964-08-01,2.796
"Canadian gas production",1964-09-01,2.796
"Canadian gas production",1964-10-01,3.0736
"Canadian gas production",1964-11-01,3.3399
"Canadian gas production",1964-12-01,4.0565
"Canadian gas production",1965-01-01,3.9007
"Canadian gas production",1965-02-01,3.4787
"Canadian gas production",1965-03-01,3.7563
"Canadian gas production",1965-04-01,3.3172
"Canadian gas production",1965-05-01,3.2549
"Canadian gas production",1965-06-01,3.0311
"Canadian gas production",1965-07-01,2.8186
"Canadian gas production",1965-08-01,3.0792
"Canadian gas production",1965-09-01,3.1217
"Canadian gas production",1965-10-01,3.3937
"Canadian gas production",1965-11-01,3.6911
"Canadian gas production",1965-12-01,4.099
"Canadian gas production",1966-01-01,4.3342
"Canadian gas production",1966-02-01,3.6911
"Canadian gas production",1966-03-01,3.9347
"Canadian gas production",1966-04-01,3.5976
"Canadian gas production",1966-05-01,3.4985
"Canadian gas production",1966-06-01,3.201
"Canadian gas production",1966-07-01,3.1812
"Canadian gas production",1966-08-01,3.2095
"Canadian gas production",1966-09-01,3.1019
"Canadian gas production",1966-10-01,3.7704
"Canadian gas production",1966-11-01,4.15
"Canadian gas production",1966-12-01,4.3483
"Canadian gas production",1967-01-01,4.5211
"Canadian gas production",1967-02-01,3.9546
"Canadian gas production",1967-03-01,4.3087
"Canadian gas production",1967-04-01,3.9829
"Canadian gas production",1967-05-01,3.9121
"Canadian gas production",1967-06-01,3.4418
"Canadian gas production",1967-07-01,3.4588
"Canadian gas production",1967-08-01,3.6855
"Canadian gas production",1967-09-01,3.6061
"Canadian gas production",1967-10-01,4.0509
"Canadian gas production",1967-11-01,4.2888
"Canadian gas production",1967-12-01,4.8894
"Canadian gas production",1968-01-01,4.9942
"Canadian gas production",1968-02-01,4.6401
"Canadian gas production",1968-03-01,4.7761
"Canadian gas production",1968-04-01,4.3795
"Canadian gas production",1968-05-01,4.116
"Canadian gas production",1968-06-01,3.9546
"Canadian gas production",1968-07-01,3.8073
"Canadian gas production",1968-08-01,4.1217
"Canadian gas production",1968-09-01,4.0622
"Canadian gas production",1968-10-01,4.7053
"Canadian gas production",1968-11-01,5.0848
"Canadian gas production",1968-12-01,5.6457
"Canadian gas production",1969-01-01,5.7194
"Canadian gas production",1969-02-01,5.218
"Canadian gas production",1969-03-01,5.6344
"Canadian gas production",1969-04-01,5.252
"Canadian gas production",1969-05-01,4.7251
"Canadian gas production",1969-06-01,4.2265
"Canadian gas production",1969-07-01,4.4531
"Canadian gas production",1969-08-01,4.7619
"Canadian gas production",1969-09-01,4.9404
"Canadian gas production",1969-10-01,5.4135
"Canadian gas production",1969-11-01,5.8582
"Canadian gas production",1969-12-01,6.1981
"Canadian gas production",1970-01-01,6.4474
"Canadian gas production",1970-02-01,5.8412
"Canadian gas production",1970-03-01,6.4701
"Canadian gas production",1970-04-01,6.065
"Canadian gas production",1970-05-01,5.7449
"Canadian gas production",1970-06-01,4.9942
"Canadian gas production",1970-07-01,5.1443
"Canadian gas production",1970-08-01,5.388
"Canadian gas production",1970-09-01,5.7222
"Canadian gas production",1970-10-01,6.1216
"Canadian gas production",1970-11-01,6.623
"Canadian gas production",1970-12-01,7.2718
"Canadian gas production",1971-01-01,7.1953
"Canadian gas production",1971-02-01,6.3624
"Canadian gas production",1971-03-01,7.0735
"Canadian gas production",1971-04-01,6.4163
"Canadian gas production",1971-05-01,6.167
"Canadian gas production",1971-06-01,5.5069
"Canadian gas production",1971-07-01,5.8837
"Canadian gas production",1971-08-01,5.9149
"Canadian gas production",1971-09-01,6.0962
"Canadian gas production",1971-10-01,6.5239
"Canadian gas production",1971-11-01,6.7958
"Canadian gas production",1971-12-01,7.6995
"Canadian gas production",1972-01-01,7.8751
"Canadian gas production",1972-02-01,7.6768
"Canadian gas production",1972-03-01,7.8581
"Canadian gas production",1972-04-01,7.3596
"Canadian gas production",1972-05-01,7.1273
"Canadian gas production",1972-06-01,6.8497
"Canadian gas production",1972-07-01,6.963
"Canadian gas production",1972-08-01,7.0735
"Canadian gas production",1972-09-01,7.3567
"Canadian gas production",1972-10-01,8.1669
"Canadian gas production",1972-11-01,8.3142
"Canadian gas production",1972-12-01,8.9686
"Canadian gas production",1973-01-01,9.0224
"Canadian gas production",1973-02-01,8.1811
"Canadian gas production",1973-03-01,8.759
"Canadian gas production",1973-04-01,8.2009
"Canadian gas production",1973-05-01,7.725
"Canadian gas production",1973-06-01,7.3397
"Canadian gas production",1973-07-01,7.5012
"Canadian gas production",1973-08-01,7.7788
"Canadian gas production",1973-09-01,7.7562
"Canadian gas production",1973-10-01,8.5947
"Canadian gas production",1973-11-01,8.8666
"Canadian gas production",1973-12-01,9.1641
"Canadian gas production",1974-01-01,9.0422
"Canadian gas production",1974-02-01,8.0621
"Canadian gas production",1974-03-01,8.8666
"Canadian gas production",1974-04-01,8.2462
"Canadian gas production",1974-05-01,7.8751
"Canadian gas production",1974-06-01,7.3284
"Canadian gas production",1974-07-01,7.4672
"Canadian gas production",1974-08-01,7.7618
"Canadian gas production",1974-09-01,7.2151
"Canadian gas production",1974-10-01,8.1159
"Canadian gas production",1974-11-01,8.2717
"Canadian gas production",1974-12-01,8.8383
"Canadian gas production",1975-01-01,8.8185
"Canadian gas production",1975-02-01,7.9176
"Canadian gas production",1975-03-01,8.8751
"Canadian gas production",1975-04-01,8.1839
"Canadian gas production",1975-05-01,7.776
"Canadian gas production",1975-06-01,7.4927
"Canadian gas production",1975-07-01,7.8808
"Canadian gas production",1975-08-01,7.5437
"Canadian gas production",1975-09-01,7.3681
"Canadian gas production",1975-10-01,8.2009
"Canadian gas production",1975-11-01,8.4785
"Canadian gas production",1975-12-01,9.0394
"Canadian gas production",1976-01-01,9.0394
"Canadian gas production",1976-02-01,8.4332
"Canadian gas production",1976-03-01,8.9289
"Canadian gas production",1976-04-01,8.2406
"Canadian gas production",1976-05-01,7.9828
"Canadian gas production",1976-06-01,7.5324
"Canadian gas production",1976-07-01,7.4417
"Canadian gas production",1976-08-01,7.2774
"Canadian gas production",1976-09-01,7.065
"Canadian gas production",1976-10-01,8.3284
"Canadian gas production",1976-11-01,8.5947
"Canadian gas production",1976-12-01,9.2094
"Canadian gas production",1977-01-01,9.4275
"Canadian gas production",1977-02-01,8.436
"Canadian gas production",1977-03-01,9.3907
"Canadian gas production",1977-04-01,8.5975
"Canadian gas production",1977-05-01,8.4672
"Canadian gas production",1977-06-01,7.6287
"Canadian gas production",1977-07-01,7.4927
"Canadian gas production",1977-08-01,7.7193
"Canadian gas production",1977-09-01,7.8751
"Canadian gas production",1977-10-01,8.4757
"Canadian gas production",1977-11-01,9.0111
"Canadian gas production",1977-12-01,9.9147
"Canadian gas production",1978-01-01,9.8836
"Canadian gas production",1978-02-01,8.5493
"Canadian gas production",1978-03-01,8.9176
"Canadian gas production",1978-04-01,8.2066
"Canadian gas production",1978-05-01,7.6315
"Canadian gas production",1978-06-01,6.9885
"Canadian gas production",1978-07-01,7.3794
"Canadian gas production",1978-08-01,7.5154
"Canadian gas production",1978-09-01,7.2094
"Canadian gas production",1978-10-01,8.1301
"Canadian gas production",1978-11-01,9.1414
"Canadian gas production",1978-12-01,10.079
"Canadian gas production",1979-01-01,10.3861
"Canadian gas production",1979-02-01,9.2797
"Canadian gas production",1979-03-01,9.3695
"Canadian gas production",1979-04-01,9.0704
"Canadian gas production",1979-05-01,8.4779
"Canadian gas production",1979-06-01,7.8664
"Canadian gas production",1979-07-01,7.9503
"Canadian gas production",1979-08-01,7.7068
"Canadian gas production",1979-09-01,7.2012
"Canadian gas production",1979-10-01,8.8276
"Canadian gas production",1979-11-01,9.2797
"Canadian gas production",1979-12-01,10.1472
"Canadian gas production",1980-01-01,10.4667
"Canadian gas production",1980-02-01,8.8772
"Canadian gas production",1980-03-01,9.28
"Canadian gas production",1980-04-01,7.7422
"Canadian gas production",1980-05-01,7.634
"Canadian gas production",1980-06-01,6.8241
"Canadian gas production",1980-07-01,6.96
"Canadian gas production",1980-08-01,7.0926
"Canadian gas production",1980-09-01,6.8148
"Canadian gas production",1980-10-01,8.0561
"Canadian gas production",1980-11-01,8.9385
"Canadian gas production",1980-12-01,10.0549
"Canadian gas production",1981-01-01,9.7207
"Canadian gas production",1981-02-01,8.834
"Canadian gas production",1981-03-01,8.8871
"Canadian gas production",1981-04-01,8.0279
"Canadian gas production",1981-05-01,7.309
"Canadian gas production",1981-06-01,7.0312
"Canadian gas production",1981-07-01,7.1871
"Canadian gas production",1981-08-01,6.944
"Canadian gas production",1981-09-01,7.0846
"Canadian gas production",1981-10-01,8.2945
"Canadian gas production",1981-11-01,8.6364
"Canadian gas production",1981-12-01,9.8766
"Canadian gas production",1982-01-01,10.5737
"Canadian gas production",1982-02-01,9.1005
"Canadian gas production",1982-03-01,9.1274
"Canadian gas production",1982-04-01,8.1889
"Canadian gas production",1982-05-01,7.3363
"Canadian gas production",1982-06-01,6.9345
"Canadian gas production",1982-07-01,6.8699
"Canadian gas production",1982-08-01,6.8529
"Canadian gas production",1982-09-01,6.8667
"Canadian gas production",1982-10-01,7.9197
"Canadian gas production",1982-11-01,9.0446
"Canadian gas production",1982-12-01,9.9246
"Canadian gas production",1983-01-01,9.8926
"Canadian gas production",1983-02-01,8.5378
"Canadian gas production",1983-03-01,8.4436
"Canadian gas production",1983-04-01,7.6013
"Canadian gas production",1983-05-01,6.9464
"Canadian gas production",1983-06-01,6.4744
"Canadian gas production",1983-07-01,6.5638
"Canadian gas production",1983-08-01,6.5996
"Canadian gas production",1983-09-01,7.0979
"Canadian gas production",1983-10-01,7.8357
"Canadian gas production",1983-11-01,8.7917
"Canadian gas production",1983-12-01,10.7124
"Canadian gas production",1984-01-01,10.5179
"Canadian gas production",1984-02-01,8.62
"Canadian gas production",1984-03-01,8.9368
"Canadian gas production",1984-04-01,7.9969
"Canadian gas production",1984-05-01,7.692
"Canadian gas production",1984-06-01,6.953
"Canadian gas production",1984-07-01,7.2329
"Canadian gas production",1984-08-01,7.2987
"Canadian gas production",1984-09-01,7.3991
"Canadian gas production",1984-10-01,8.5917
"Canadian gas production",1984-11-01,9.7111
"Canadian gas production",1984-12-01,10.7278
"Canadian gas production",1985-01-01,10.8878
"Canadian gas production",1985-02-01,10.109
"Canadian gas production",1985-03-01,10.0308
"Canadian gas production",1985-04-01,8.7854
"Canadian gas production",1985-05-01,8.1684
"Canadian gas production",1985-06-01,7.4509
"Canadian gas production",1985-07-01,7.3972
"Canadian gas production",1985-08-01,7.46
"Canadian gas production",1985-09-01,7.9639
"Canadian gas production",1985-10-01,8.9585
"Canadian gas production",1985-11-01,10.1481
"Canadian gas production",1985-12-01,11.3796
"Canadian gas production",1986-01-01,11.0386
"Canadian gas production",1986-02-01,9.7654
"Canadian gas production",1986-03-01,9.3167
"Canadian gas production",1986-04-01,8.1464
"Canadian gas production",1986-05-01,7.8331
"Canadian gas production",1986-06-01,7.3008
"Canadian gas production",1986-07-01,7.4569
"Canadian gas production",1986-08-01,7.4211
"Canadian gas production",1986-09-01,7.7622
"Canadian gas production",1986-10-01,9.048
"Canadian gas production",1986-11-01,9.9553
"Canadian gas production",1986-12-01,10.7079
"Canadian gas production",1987-01-01,10.8455
"Canadian gas production",1987-02-01,9.3094
"Canadian gas production",1987-03-01,10.102
"Canadian gas production",1987-04-01,8.9196
"Canadian gas production",1987-05-01,8.315
"Canadian gas production",1987-06-01,7.4219
"Canadian gas production",1987-07-01,7.9237
"Canadian gas production",1987-08-01,8.6236
"Canadian gas production",1987-09-01,8.5844
"Canadian gas production",1987-10-01,10.3569
"Canadian gas production",1987-11-01,11.0081
"Canadian gas production",1987-12-01,12.1456
"Canadian gas production",1988-01-01,12.6596
"Canadian gas production",1988-02-01,11.4703
"Canadian gas production",1988-03-01,11.32
"Canadian gas production",1988-04-01,10.2638
"Canadian gas production",1988-05-01,9.7286
"Canadian gas production",1988-06-01,8.9138
"Canadian gas production",1988-07-01,9.8172
"Canadian gas production",1988-08-01,9.9253
"Canadian gas production",1988-09-01,9.8777
"Canadian gas production",1988-10-01,10.867
"Canadian gas production",1988-11-01,11.5952
"Canadian gas production",1988-12-01,12.4078
"Canadian gas production",1989-01-01,12.3457
"Canadian gas production",1989-02-01,11.5028
"Canadian gas production",1989-03-01,12.1695
"Canadian gas production",1989-04-01,11.2916
"Canadian gas production",1989-05-01,10.5054
"Canadian gas production",1989-06-01,9.854
"Canadian gas production",1989-07-01,10.4084
"Canadian gas production",1989-08-01,10.3725
"Canadian gas production",1989-09-01,10.4122
"Canadian gas production",1989-10-01,11.3239
