,ds,State,Gender,Legal,Indigenous,y
1,2005Q1,ACT,Female,Remanded,ATSI,0
2,2005Q2,ACT,Female,Remanded,ATSI,1
3,2005Q3,ACT,Female,Remanded,ATSI,0
4,2005Q4,ACT,Female,Remanded,ATSI,0
5,2006Q1,ACT,Female,Remanded,ATSI,1
6,2006Q2,ACT,Female,Remanded,ATSI,1
7,2006Q3,ACT,Female,Remanded,ATSI,1
8,2006Q4,ACT,Female,Remanded,ATSI,0
9,2007Q1,ACT,Female,Remanded,ATSI,0
10,2007Q2,ACT,Female,Remanded,ATSI,1
11,2007Q3,ACT,Female,Remanded,ATSI,1
12,2007Q4,ACT,Female,Remanded,ATSI,1
13,2008Q1,ACT,Female,Remanded,ATSI,2
14,2008Q2,ACT,Female,Remanded,ATSI,2
15,2008Q3,ACT,Female,Remanded,ATSI,3
16,2008Q4,ACT,Female,Remanded,ATSI,2
17,2009Q1,ACT,Female,Remanded,ATSI,2
18,2009Q2,ACT,Female,Remanded,ATSI,3
19,2009Q3,ACT,Female,Remanded,ATSI,0
20,2009Q4,ACT,Female,Remanded,ATSI,1
21,2010Q1,ACT,Female,Remanded,ATSI,2
22,2010Q2,ACT,Female,Remanded,ATSI,1
23,2010Q3,ACT,Female,Remanded,ATSI,1
24,2010Q4,ACT,Female,Remanded,ATSI,1
25,2011Q1,ACT,Female,Remanded,ATSI,2
26,2011Q2,ACT,Female,Remanded,ATSI,1
27,2011Q3,ACT,Female,Remanded,ATSI,2
28,2011Q4,ACT,Female,Remanded,ATSI,1
29,2012Q1,ACT,Female,Remanded,ATSI,1
30,2012Q2,ACT,Female,Remanded,ATSI,0
31,2012Q3,ACT,Female,Remanded,ATSI,0
32,2012Q4,ACT,Female,Remanded,ATSI,1
33,2013Q1,ACT,Female,Remanded,ATSI,0
34,2013Q2,ACT,Female,Remanded,ATSI,1
35,2013Q3,ACT,Female,Remanded,ATSI,1
36,2013Q4,ACT,Female,Remanded,ATSI,2
37,2014Q1,ACT,Female,Remanded,ATSI,1
38,2014Q2,ACT,Female,Remanded,ATSI,1
39,2014Q3,ACT,Female,Remanded,ATSI,1
40,2014Q4,ACT,Female,Remanded,ATSI,1
41,2015Q1,ACT,Female,Remanded,ATSI,1
42,2015Q2,ACT,Female,Remanded,ATSI,2
43,2015Q3,ACT,Female,Remanded,ATSI,1
44,2015Q4,ACT,Female,Remanded,ATSI,4
45,2016Q1,ACT,Female,Remanded,ATSI,4
46,2016Q2,ACT,Female,Remanded,ATSI,4
47,2016Q3,ACT,Female,Remanded,ATSI,5
48,2016Q4,ACT,Female,Remanded,ATSI,4
49,2005Q1,ACT,Female,Remanded,Non-ATSI,2
50,2005Q2,ACT,Female,Remanded,Non-ATSI,3
51,2005Q3,ACT,Female,Remanded,Non-ATSI,1
52,2005Q4,ACT,Female,Remanded,Non-ATSI,4
53,2006Q1,ACT,Female,Remanded,Non-ATSI,3
54,2006Q2,ACT,Female,Remanded,Non-ATSI,5
55,2006Q3,ACT,Female,Remanded,Non-ATSI,8
56,2006Q4,ACT,Female,Remanded,Non-ATSI,6
57,2007Q1,ACT,Female,Remanded,Non-ATSI,4
58,2007Q2,ACT,Female,Remanded,Non-ATSI,3
59,2007Q3,ACT,Female,Remanded,Non-ATSI,4
60,2007Q4,ACT,Female,Remanded,Non-ATSI,4
61,2008Q1,ACT,Female,Remanded,Non-ATSI,8
62,2008Q2,ACT,Female,Remanded,Non-ATSI,5
63,2008Q3,ACT,Female,Remanded,Non-ATSI,6
64,2008Q4,ACT,Female,Remanded,Non-ATSI,7
65,2009Q1,ACT,Female,Remanded,Non-ATSI,8
66,2009Q2,ACT,Female,Remanded,Non-ATSI,4
67,2009Q3,ACT,Female,Remanded,Non-ATSI,3
68,2009Q4,ACT,Female,Remanded,Non-ATSI,6
69,2010Q1,ACT,Female,Remanded,Non-ATSI,5
70,2010Q2,ACT,Female,Remanded,Non-ATSI,10
71,2010Q3,ACT,Female,Remanded,Non-ATSI,8
72,2010Q4,ACT,Female,Remanded,Non-ATSI,6
73,2011Q1,ACT,Female,Remanded,Non-ATSI,6
74,2011Q2,ACT,Female,Remanded,Non-ATSI,4
75,2011Q3,ACT,Female,Remanded,Non-ATSI,5
76,2011Q4,ACT,Female,Remanded,Non-ATSI,3
77,2012Q1,ACT,Female,Remanded,Non-ATSI,3
78,2012Q2,ACT,Female,Remanded,Non-ATSI,3
79,2012Q3,ACT,Female,Remanded,Non-ATSI,3
80,2012Q4,ACT,Female,Remanded,Non-ATSI,3
81,2013Q1,ACT,Female,Remanded,Non-ATSI,4
82,2013Q2,ACT,Female,Remanded,Non-ATSI,4
83,2013Q3,ACT,Female,Remanded,Non-ATSI,3
84,2013Q4,ACT,Female,Remanded,Non-ATSI,4
85,2014Q1,ACT,Female,Remanded,Non-ATSI,4
86,2014Q2,ACT,Female,Remanded,Non-ATSI,4
87,2014Q3,ACT,Female,Remanded,Non-ATSI,4
88,2014Q4,ACT,Female,Remanded,Non-ATSI,4
89,2015Q1,ACT,Female,Remanded,Non-ATSI,6
90,2015Q2,ACT,Female,Remanded,Non-ATSI,6
91,2015Q3,ACT,Female,Remanded,Non-ATSI,5
92,2015Q4,ACT,Female,Remanded,Non-ATSI,7
93,2016Q1,ACT,Female,Remanded,Non-ATSI,9
94,2016Q2,ACT,Female,Remanded,Non-ATSI,7
95,2016Q3,ACT,Female,Remanded,Non-ATSI,6
96,2016Q4,ACT,Female,Remanded,Non-ATSI,8
97,2005Q1,NSW,Female,Remanded,ATSI,51
98,2005Q2,NSW,Female,Remanded,ATSI,53
99,2005Q3,NSW,Female,Remanded,ATSI,53
100,2005Q4,NSW,Female,Remanded,ATSI,48
101,2006Q1,NSW,Female,Remanded,ATSI,55
102,2006Q2,NSW,Female,Remanded,ATSI,53
103,2006Q3,NSW,Female,Remanded,ATSI,53
104,2006Q4,NSW,Female,Remanded,ATSI,64
105,2007Q1,NSW,Female,Remanded,ATSI,58
106,2007Q2,NSW,Female,Remanded,ATSI,54
107,2007Q3,NSW,Female,Remanded,ATSI,63
108,2007Q4,NSW,Female,Remanded,ATSI,56
109,2008Q1,NSW,Female,Remanded,ATSI,59
110,2008Q2,NSW,Female,Remanded,ATSI,64
111,2008Q3,NSW,Female,Remanded,ATSI,49
112,2008Q4,NSW,Female,Remanded,ATSI,55
113,2009Q1,NSW,Female,Remanded,ATSI,63
114,2009Q2,NSW,Female,Remanded,ATSI,59
115,2009Q3,NSW,Female,Remanded,ATSI,58
116,2009Q4,NSW,Female,Remanded,ATSI,51
117,2010Q1,NSW,Female,Remanded,ATSI,64
118,2010Q2,NSW,Female,Remanded,ATSI,54
119,2010Q3,NSW,Female,Remanded,ATSI,49
120,2010Q4,NSW,Female,Remanded,ATSI,54
121,2011Q1,NSW,Female,Remanded,ATSI,57
122,2011Q2,NSW,Female,Remanded,ATSI,58
123,2011Q3,NSW,Female,Remanded,ATSI,68
124,2011Q4,NSW,Female,Remanded,ATSI,58
125,2012Q1,NSW,Female,Remanded,ATSI,59
126,2012Q2,NSW,Female,Remanded,ATSI,63
127,2012Q3,NSW,Female,Remanded,ATSI,71
128,2012Q4,NSW,Female,Remanded,ATSI,80
129,2013Q1,NSW,Female,Remanded,ATSI,92
130,2013Q2,NSW,Female,Remanded,ATSI,85
131,2013Q3,NSW,Female,Remanded,ATSI,82
132,2013Q4,NSW,Female,Remanded,ATSI,89
133,2014Q1,NSW,Female,Remanded,ATSI,94
134,2014Q2,NSW,Female,Remanded,ATSI,93
135,2014Q3,NSW,Female,Remanded,ATSI,70
136,2014Q4,NSW,Female,Remanded,ATSI,72
137,2015Q1,NSW,Female,Remanded,ATSI,95
138,2015Q2,NSW,Female,Remanded,ATSI,106
139,2015Q3,NSW,Female,Remanded,ATSI,102
140,2015Q4,NSW,Female,Remanded,ATSI,97
141,2016Q1,NSW,Female,Remanded,ATSI,107
142,2016Q2,NSW,Female,Remanded,ATSI,132
143,2016Q3,NSW,Female,Remanded,ATSI,127
144,2016Q4,NSW,Female,Remanded,ATSI,126
145,2005Q1,NSW,Female,Remanded,Non-ATSI,131
146,2005Q2,NSW,Female,Remanded,Non-ATSI,138
147,2005Q3,NSW,Female,Remanded,Non-ATSI,133
148,2005Q4,NSW,Female,Remanded,Non-ATSI,124
149,2006Q1,NSW,Female,Remanded,Non-ATSI,136
150,2006Q2,NSW,Female,Remanded,Non-ATSI,141
151,2006Q3,NSW,Female,Remanded,Non-ATSI,149
152,2006Q4,NSW,Female,Remanded,Non-ATSI,154
153,2007Q1,NSW,Female,Remanded,Non-ATSI,159
154,2007Q2,NSW,Female,Remanded,Non-ATSI,155
155,2007Q3,NSW,Female,Remanded,Non-ATSI,148
156,2007Q4,NSW,Female,Remanded,Non-ATSI,143
157,2008Q1,NSW,Female,Remanded,Non-ATSI,140
158,2008Q2,NSW,Female,Remanded,Non-ATSI,144
159,2008Q3,NSW,Female,Remanded,Non-ATSI,152
160,2008Q4,NSW,Female,Remanded,Non-ATSI,153
161,2009Q1,NSW,Female,Remanded,Non-ATSI,171
162,2009Q2,NSW,Female,Remanded,Non-ATSI,177
163,2009Q3,NSW,Female,Remanded,Non-ATSI,164
164,2009Q4,NSW,Female,Remanded,Non-ATSI,156
165,2010Q1,NSW,Female,Remanded,Non-ATSI,153
166,2010Q2,NSW,Female,Remanded,Non-ATSI,163
167,2010Q3,NSW,Female,Remanded,Non-ATSI,144
168,2010Q4,NSW,Female,Remanded,Non-ATSI,139
169,2011Q1,NSW,Female,Remanded,Non-ATSI,135
170,2011Q2,NSW,Female,Remanded,Non-ATSI,143
171,2011Q3,NSW,Female,Remanded,Non-ATSI,133
172,2011Q4,NSW,Female,Remanded,Non-ATSI,135
173,2012Q1,NSW,Female,Remanded,Non-ATSI,149
174,2012Q2,NSW,Female,Remanded,Non-ATSI,141
175,2012Q3,NSW,Female,Remanded,Non-ATSI,145
176,2012Q4,NSW,Female,Remanded,Non-ATSI,134
177,2013Q1,NSW,Female,Remanded,Non-ATSI,139
178,2013Q2,NSW,Female,Remanded,Non-ATSI,142
179,2013Q3,NSW,Female,Remanded,Non-ATSI,150
180,2013Q4,NSW,Female,Remanded,Non-ATSI,150
181,2014Q1,NSW,Female,Remanded,Non-ATSI,168
182,2014Q2,NSW,Female,Remanded,Non-ATSI,174
183,2014Q3,NSW,Female,Remanded,Non-ATSI,151
184,2014Q4,NSW,Female,Remanded,Non-ATSI,151
185,2015Q1,NSW,Female,Remanded,Non-ATSI,203
186,2015Q2,NSW,Female,Remanded,Non-ATSI,197
187,2015Q3,NSW,Female,Remanded,Non-ATSI,203
188,2015Q4,NSW,Female,Remanded,Non-ATSI,208
189,2016Q1,NSW,Female,Remanded,Non-ATSI,242
190,2016Q2,NSW,Female,Remanded,Non-ATSI,282
191,2016Q3,NSW,Female,Remanded,Non-ATSI,298
192,2016Q4,NSW,Female,Remanded,Non-ATSI,300
193,2005Q1,NT,Female,Remanded,ATSI,10
194,2005Q2,NT,Female,Remanded,ATSI,7
195,2005Q3,NT,Female,Remanded,ATSI,5
196,2005Q4,NT,Female,Remanded,ATSI,7
197,2006Q1,NT,Female,Remanded,ATSI,9
198,2006Q2,NT,Female,Remanded,ATSI,11
199,2006Q3,NT,Female,Remanded,ATSI,10
200,2006Q4,NT,Female,Remanded,ATSI,7
201,2007Q1,NT,Female,Remanded,ATSI,11
202,2007Q2,NT,Female,Remanded,ATSI,11
203,2007Q3,NT,Female,Remanded,ATSI,9
204,2007Q4,NT,Female,Remanded,ATSI,6
205,2008Q1,NT,Female,Remanded,ATSI,9
206,2008Q2,NT,Female,Remanded,ATSI,8
207,2008Q3,NT,Female,Remanded,ATSI,14
208,2008Q4,NT,Female,Remanded,ATSI,13
209,2009Q1,NT,Female,Remanded,ATSI,12
210,2009Q2,NT,Female,Remanded,ATSI,14
211,2009Q3,NT,Female,Remanded,ATSI,8
212,2009Q4,NT,Female,Remanded,ATSI,11
213,2010Q1,NT,Female,Remanded,ATSI,14
214,2010Q2,NT,Female,Remanded,ATSI,12
215,2010Q3,NT,Female,Remanded,ATSI,12
216,2010Q4,NT,Female,Remanded,ATSI,8
217,2011Q1,NT,Female,Remanded,ATSI,13
218,2011Q2,NT,Female,Remanded,ATSI,17
219,2011Q3,NT,Female,Remanded,ATSI,16
220,2011Q4,NT,Female,Remanded,ATSI,17
221,2012Q1,NT,Female,Remanded,ATSI,18
222,2012Q2,NT,Female,Remanded,ATSI,26
223,2012Q3,NT,Female,Remanded,ATSI,26
224,2012Q4,NT,Female,Remanded,ATSI,20
225,2013Q1,NT,Female,Remanded,ATSI,30
226,2013Q2,NT,Female,Remanded,ATSI,24
227,2013Q3,NT,Female,Remanded,ATSI,27
228,2013Q4,NT,Female,Remanded,ATSI,30
229,2014Q1,NT,Female,Remanded,ATSI,41
230,2014Q2,NT,Female,Remanded,ATSI,33
231,2014Q3,NT,Female,Remanded,ATSI,40
232,2014Q4,NT,Female,Remanded,ATSI,37
233,2015Q1,NT,Female,Remanded,ATSI,47
234,2015Q2,NT,Female,Remanded,ATSI,40
235,2015Q3,NT,Female,Remanded,ATSI,37
236,2015Q4,NT,Female,Remanded,ATSI,38
237,2016Q1,NT,Female,Remanded,ATSI,44
238,2016Q2,NT,Female,Remanded,ATSI,30
239,2016Q3,NT,Female,Remanded,ATSI,31
240,2016Q4,NT,Female,Remanded,ATSI,29
241,2005Q1,NT,Female,Remanded,Non-ATSI,3
242,2005Q2,NT,Female,Remanded,Non-ATSI,3
243,2005Q3,NT,Female,Remanded,Non-ATSI,3
244,2005Q4,NT,Female,Remanded,Non-ATSI,3
245,2006Q1,NT,Female,Remanded,Non-ATSI,3
246,2006Q2,NT,Female,Remanded,Non-ATSI,2
247,2006Q3,NT,Female,Remanded,Non-ATSI,1
248,2006Q4,NT,Female,Remanded,Non-ATSI,0
249,2007Q1,NT,Female,Remanded,Non-ATSI,0
250,2007Q2,NT,Female,Remanded,Non-ATSI,1
251,2007Q3,NT,Female,Remanded,Non-ATSI,0
252,2007Q4,NT,Female,Remanded,Non-ATSI,2
253,2008Q1,NT,Female,Remanded,Non-ATSI,2
254,2008Q2,NT,Female,Remanded,Non-ATSI,2
255,2008Q3,NT,Female,Remanded,Non-ATSI,2
256,2008Q4,NT,Female,Remanded,Non-ATSI,2
257,2009Q1,NT,Female,Remanded,Non-ATSI,3
258,2009Q2,NT,Female,Remanded,Non-ATSI,2
259,2009Q3,NT,Female,Remanded,Non-ATSI,1
260,2009Q4,NT,Female,Remanded,Non-ATSI,1
261,2010Q1,NT,Female,Remanded,Non-ATSI,1
262,2010Q2,NT,Female,Remanded,Non-ATSI,0
263,2010Q3,NT,Female,Remanded,Non-ATSI,1
264,2010Q4,NT,Female,Remanded,Non-ATSI,1
265,2011Q1,NT,Female,Remanded,Non-ATSI,2
266,2011Q2,NT,Female,Remanded,Non-ATSI,3
267,2011Q3,NT,Female,Remanded,Non-ATSI,2
268,2011Q4,NT,Female,Remanded,Non-ATSI,4
269,2012Q1,NT,Female,Remanded,Non-ATSI,1
270,2012Q2,NT,Female,Remanded,Non-ATSI,3
271,2012Q3,NT,Female,Remanded,Non-ATSI,4
272,2012Q4,NT,Female,Remanded,Non-ATSI,3
273,2013Q1,NT,Female,Remanded,Non-ATSI,1
274,2013Q2,NT,Female,Remanded,Non-ATSI,2
275,2013Q3,NT,Female,Remanded,Non-ATSI,4
276,2013Q4,NT,Female,Remanded,Non-ATSI,6
277,2014Q1,NT,Female,Remanded,Non-ATSI,7
278,2014Q2,NT,Female,Remanded,Non-ATSI,4
279,2014Q3,NT,Female,Remanded,Non-ATSI,3
280,2014Q4,NT,Female,Remanded,Non-ATSI,4
281,2015Q1,NT,Female,Remanded,Non-ATSI,6
282,2015Q2,NT,Female,Remanded,Non-ATSI,10
283,2015Q3,NT,Female,Remanded,Non-ATSI,6
284,2015Q4,NT,Female,Remanded,Non-ATSI,13
285,2016Q1,NT,Female,Remanded,Non-ATSI,6
286,2016Q2,NT,Female,Remanded,Non-ATSI,10
287,2016Q3,NT,Female,Remanded,Non-ATSI,12
288,2016Q4,NT,Female,Remanded,Non-ATSI,9
289,2005Q1,QLD,Female,Remanded,ATSI,23
290,2005Q2,QLD,Female,Remanded,ATSI,26
291,2005Q3,QLD,Female,Remanded,ATSI,24
292,2005Q4,QLD,Female,Remanded,ATSI,22
293,2006Q1,QLD,Female,Remanded,ATSI,20
294,2006Q2,QLD,Female,Remanded,ATSI,22
295,2006Q3,QLD,Female,Remanded,ATSI,24
296,2006Q4,QLD,Female,Remanded,ATSI,30
297,2007Q1,QLD,Female,Remanded,ATSI,31
298,2007Q2,QLD,Female,Remanded,ATSI,31
299,2007Q3,QLD,Female,Remanded,ATSI,33
300,2007Q4,QLD,Female,Remanded,ATSI,24
301,2008Q1,QLD,Female,Remanded,ATSI,34
302,2008Q2,QLD,Female,Remanded,ATSI,39
303,2008Q3,QLD,Female,Remanded,ATSI,39
304,2008Q4,QLD,Female,Remanded,ATSI,28
305,2009Q1,QLD,Female,Remanded,ATSI,29
306,2009Q2,QLD,Female,Remanded,ATSI,30
307,2009Q3,QLD,Female,Remanded,ATSI,31
308,2009Q4,QLD,Female,Remanded,ATSI,26
309,2010Q1,QLD,Female,Remanded,ATSI,33
310,2010Q2,QLD,Female,Remanded,ATSI,37
311,2010Q3,QLD,Female,Remanded,ATSI,35
312,2010Q4,QLD,Female,Remanded,ATSI,30
313,2011Q1,QLD,Female,Remanded,ATSI,33
314,2011Q2,QLD,Female,Remanded,ATSI,31
315,2011Q3,QLD,Female,Remanded,ATSI,36
316,2011Q4,QLD,Female,Remanded,ATSI,33
317,2012Q1,QLD,Female,Remanded,ATSI,31
318,2012Q2,QLD,Female,Remanded,ATSI,38
319,2012Q3,QLD,Female,Remanded,ATSI,41
320,2012Q4,QLD,Female,Remanded,ATSI,40
321,2013Q1,QLD,Female,Remanded,ATSI,41
322,2013Q2,QLD,Female,Remanded,ATSI,43
323,2013Q3,QLD,Female,Remanded,ATSI,44
324,2013Q4,QLD,Female,Remanded,ATSI,50
325,2014Q1,QLD,Female,Remanded,ATSI,53
326,2014Q2,QLD,Female,Remanded,ATSI,54
327,2014Q3,QLD,Female,Remanded,ATSI,56
328,2014Q4,QLD,Female,Remanded,ATSI,54
329,2015Q1,QLD,Female,Remanded,ATSI,52
330,2015Q2,QLD,Female,Remanded,ATSI,52
331,2015Q3,QLD,Female,Remanded,ATSI,52
332,2015Q4,QLD,Female,Remanded,ATSI,61
333,2016Q1,QLD,Female,Remanded,ATSI,78
334,2016Q2,QLD,Female,Remanded,ATSI,79
335,2016Q3,QLD,Female,Remanded,ATSI,71
336,2016Q4,QLD,Female,Remanded,ATSI,71
337,2005Q1,QLD,Female,Remanded,Non-ATSI,58
338,2005Q2,QLD,Female,Remanded,Non-ATSI,55
339,2005Q3,QLD,Female,Remanded,Non-ATSI,52
340,2005Q4,QLD,Female,Remanded,Non-ATSI,59
341,2006Q1,QLD,Female,Remanded,Non-ATSI,60
342,2006Q2,QLD,Female,Remanded,Non-ATSI,60
343,2006Q3,QLD,Female,Remanded,Non-ATSI,65
344,2006Q4,QLD,Female,Remanded,Non-ATSI,65
345,2007Q1,QLD,Female,Remanded,Non-ATSI,77
346,2007Q2,QLD,Female,Remanded,Non-ATSI,77
347,2007Q3,QLD,Female,Remanded,Non-ATSI,72
348,2007Q4,QLD,Female,Remanded,Non-ATSI,72
349,2008Q1,QLD,Female,Remanded,Non-ATSI,67
350,2008Q2,QLD,Female,Remanded,Non-ATSI,64
351,2008Q3,QLD,Female,Remanded,Non-ATSI,70
352,2008Q4,QLD,Female,Remanded,Non-ATSI,62
353,2009Q1,QLD,Female,Remanded,Non-ATSI,56
354,2009Q2,QLD,Female,Remanded,Non-ATSI,59
355,2009Q3,QLD,Female,Remanded,Non-ATSI,55
356,2009Q4,QLD,Female,Remanded,Non-ATSI,58
357,2010Q1,QLD,Female,Remanded,Non-ATSI,63
358,2010Q2,QLD,Female,Remanded,Non-ATSI,66
359,2010Q3,QLD,Female,Remanded,Non-ATSI,57
360,2010Q4,QLD,Female,Remanded,Non-ATSI,53
361,2011Q1,QLD,Female,Remanded,Non-ATSI,45
362,2011Q2,QLD,Female,Remanded,Non-ATSI,45
363,2011Q3,QLD,Female,Remanded,Non-ATSI,57
364,2011Q4,QLD,Female,Remanded,Non-ATSI,55
365,2012Q1,QLD,Female,Remanded,Non-ATSI,63
366,2012Q2,QLD,Female,Remanded,Non-ATSI,63
367,2012Q3,QLD,Female,Remanded,Non-ATSI,64
368,2012Q4,QLD,Female,Remanded,Non-ATSI,64
369,2013Q1,QLD,Female,Remanded,Non-ATSI,77
370,2013Q2,QLD,Female,Remanded,Non-ATSI,90
371,2013Q3,QLD,Female,Remanded,Non-ATSI,89
372,2013Q4,QLD,Female,Remanded,Non-ATSI,99
373,2014Q1,QLD,Female,Remanded,Non-ATSI,108
374,2014Q2,QLD,Female,Remanded,Non-ATSI,109
375,2014Q3,QLD,Female,Remanded,Non-ATSI,107
376,2014Q4,QLD,Female,Remanded,Non-ATSI,107
377,2015Q1,QLD,Female,Remanded,Non-ATSI,104
378,2015Q2,QLD,Female,Remanded,Non-ATSI,122
379,2015Q3,QLD,Female,Remanded,Non-ATSI,131
380,2015Q4,QLD,Female,Remanded,Non-ATSI,135
381,2016Q1,QLD,Female,Remanded,Non-ATSI,148
382,2016Q2,QLD,Female,Remanded,Non-ATSI,152
383,2016Q3,QLD,Female,Remanded,Non-ATSI,150
384,2016Q4,QLD,Female,Remanded,Non-ATSI,159
385,2005Q1,SA,Female,Remanded,ATSI,13
386,2005Q2,SA,Female,Remanded,ATSI,12
387,2005Q3,SA,Female,Remanded,ATSI,16
388,2005Q4,SA,Female,Remanded,ATSI,12
389,2006Q1,SA,Female,Remanded,ATSI,13
390,2006Q2,SA,Female,Remanded,ATSI,9
391,2006Q3,SA,Female,Remanded,ATSI,7
392,2006Q4,SA,Female,Remanded,ATSI,9
393,2007Q1,SA,Female,Remanded,ATSI,11
394,2007Q2,SA,Female,Remanded,ATSI,14
395,2007Q3,SA,Female,Remanded,ATSI,16
396,2007Q4,SA,Female,Remanded,ATSI,12
397,2008Q1,SA,Female,Remanded,ATSI,15
398,2008Q2,SA,Female,Remanded,ATSI,16
399,2008Q3,SA,Female,Remanded,ATSI,15
400,2008Q4,SA,Female,Remanded,ATSI,13
401,2009Q1,SA,Female,Remanded,ATSI,22
402,2009Q2,SA,Female,Remanded,ATSI,20
403,2009Q3,SA,Female,Remanded,ATSI,15
404,2009Q4,SA,Female,Remanded,ATSI,14
405,2010Q1,SA,Female,Remanded,ATSI,17
406,2010Q2,SA,Female,Remanded,ATSI,16
407,2010Q3,SA,Female,Remanded,ATSI,16
408,2010Q4,SA,Female,Remanded,ATSI,13
409,2011Q1,SA,Female,Remanded,ATSI,14
410,2011Q2,SA,Female,Remanded,ATSI,15
411,2011Q3,SA,Female,Remanded,ATSI,15
412,2011Q4,SA,Female,Remanded,ATSI,25
413,2012Q1,SA,Female,Remanded,ATSI,25
414,2012Q2,SA,Female,Remanded,ATSI,32
415,2012Q3,SA,Female,Remanded,ATSI,22
416,2012Q4,SA,Female,Remanded,ATSI,19
417,2013Q1,SA,Female,Remanded,ATSI,23
418,2013Q2,SA,Female,Remanded,ATSI,25
419,2013Q3,SA,Female,Remanded,ATSI,22
420,2013Q4,SA,Female,Remanded,ATSI,14
421,2014Q1,SA,Female,Remanded,ATSI,19
422,2014Q2,SA,Female,Remanded,ATSI,20
423,2014Q3,SA,Female,Remanded,ATSI,23
424,2014Q4,SA,Female,Remanded,ATSI,21
425,2015Q1,SA,Female,Remanded,ATSI,22
426,2015Q2,SA,Female,Remanded,ATSI,22
427,2015Q3,SA,Female,Remanded,ATSI,28
428,2015Q4,SA,Female,Remanded,ATSI,30
429,2016Q1,SA,Female,Remanded,ATSI,27
430,2016Q2,SA,Female,Remanded,ATSI,34
431,2016Q3,SA,Female,Remanded,ATSI,34
432,2016Q4,SA,Female,Remanded,ATSI,29
433,2005Q1,SA,Female,Remanded,Non-ATSI,25
434,2005Q2,SA,Female,Remanded,Non-ATSI,27
435,2005Q3,SA,Female,Remanded,Non-ATSI,32
436,2005Q4,SA,Female,Remanded,Non-ATSI,32
437,2006Q1,SA,Female,Remanded,Non-ATSI,28
438,2006Q2,SA,Female,Remanded,Non-ATSI,28
439,2006Q3,SA,Female,Remanded,Non-ATSI,29
440,2006Q4,SA,Female,Remanded,Non-ATSI,32
441,2007Q1,SA,Female,Remanded,Non-ATSI,37
442,2007Q2,SA,Female,Remanded,Non-ATSI,38
443,2007Q3,SA,Female,Remanded,Non-ATSI,36
444,2007Q4,SA,Female,Remanded,Non-ATSI,42
445,2008Q1,SA,Female,Remanded,Non-ATSI,46
446,2008Q2,SA,Female,Remanded,Non-ATSI,43
447,2008Q3,SA,Female,Remanded,Non-ATSI,49
448,2008Q4,SA,Female,Remanded,Non-ATSI,44
449,2009Q1,SA,Female,Remanded,Non-ATSI,37
450,2009Q2,SA,Female,Remanded,Non-ATSI,37
451,2009Q3,SA,Female,Remanded,Non-ATSI,36
452,2009Q4,SA,Female,Remanded,Non-ATSI,36
453,2010Q1,SA,Female,Remanded,Non-ATSI,35
454,2010Q2,SA,Female,Remanded,Non-ATSI,38
455,2010Q3,SA,Female,Remanded,Non-ATSI,35
456,2010Q4,SA,Female,Remanded,Non-ATSI,37
457,2011Q1,SA,Female,Remanded,Non-ATSI,33
458,2011Q2,SA,Female,Remanded,Non-ATSI,22
459,2011Q3,SA,Female,Remanded,Non-ATSI,27
460,2011Q4,SA,Female,Remanded,Non-ATSI,26
461,2012Q1,SA,Female,Remanded,Non-ATSI,31
462,2012Q2,SA,Female,Remanded,Non-ATSI,27
463,2012Q3,SA,Female,Remanded,Non-ATSI,31
464,2012Q4,SA,Female,Remanded,Non-ATSI,32
465,2013Q1,SA,Female,Remanded,Non-ATSI,32
466,2013Q2,SA,Female,Remanded,Non-ATSI,41
467,2013Q3,SA,Female,Remanded,Non-ATSI,39
468,2013Q4,SA,Female,Remanded,Non-ATSI,41
469,2014Q1,SA,Female,Remanded,Non-ATSI,51
470,2014Q2,SA,Female,Remanded,Non-ATSI,47
