ds,y,unique_id
1951-01-01,4737,strikes
1952-01-01,5117,strikes
1953-01-01,5091,strikes
1954-01-01,3468,strikes
1955-01-01,4320,strikes
1956-01-01,3825,strikes
1957-01-01,3673,strikes
1958-01-01,3694,strikes
1959-01-01,3708,strikes
1960-01-01,3333,strikes
1961-01-01,3367,strikes
1962-01-01,3614,strikes
1963-01-01,3362,strikes
1964-01-01,3655,strikes
1965-01-01,3963,strikes
1966-01-01,4405,strikes
1967-01-01,4595,strikes
1968-01-01,5045,strikes
1969-01-01,5700,strikes
1970-01-01,5716,strikes
1971-01-01,5138,strikes
1972-01-01,5010,strikes
1973-01-01,5353,strikes
1974-01-01,6074,strikes
1975-01-01,5031,strikes
1976-01-01,5648,strikes
1977-01-01,5506,strikes
1978-01-01,4230,strikes
1979-01-01,4827,strikes
1980-01-01,3885,strikes
